epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.681,1.17099,2.46206,1.61079,0.84892,0.13436,0.59863,0.31114,1.23751,3.3894,1.7083,0.000543587,0.000543587,0.000543587
2,306.967,1.22565,1.85083,1.55725,0.48385,0.74869,0.67125,0.33483,1.3683,2.78447,1.83619,0.00107749,0.00107749,0.00107749
3,452.979,1.23825,1.71378,1.54091,0.81857,0.45306,0.56498,0.28786,1.57305,2.27261,1.98643,0.00158939,0.00158939,0.00158939
4,601.376,1.25463,1.57506,1.57025,0.42562,0.512,0.47496,0.25642,1.70793,2.77267,2.15379,0.00156798,0.00156798,0.00156798
5,749.402,1.21927,1.41942,1.52553,0.31201,0.6337,0.41023,0.19291,1.86275,4.92111,2.3548,0.00153497,0.00153497,0.00153497
6,895.86,1.2476,1.33966,1.52636,0.73994,0.70954,0.75742,0.41639,1.57297,1.73303,1.99249,0.00150197,0.00150197,0.00150197
7,1042.82,1.20739,1.23057,1.4927,0.67911,0.5803,0.63698,0.36127,1.43694,2.29452,1.74797,0.00146896,0.00146896,0.00146896
8,1190.04,1.19495,1.13513,1.4791,0.87621,0.85809,0.94343,0.60345,1.25338,1.11492,1.63316,0.00143595,0.00143595,0.00143595
9,1338.27,1.17067,1.10708,1.46835,0.86179,0.7665,0.88668,0.52267,1.32228,1.16739,1.71562,0.00140295,0.00140295,0.00140295
10,1489.92,1.1225,1.02877,1.42583,0.81274,0.81455,0.89472,0.55836,1.29676,1.1088,1.74585,0.00136994,0.00136994,0.00136994
11,1636.63,1.10544,1.03434,1.41603,0.88169,0.88542,0.94587,0.62225,1.17637,0.84756,1.5915,0.00133693,0.00133693,0.00133693
12,1782.29,1.10137,0.97572,1.41599,0.78325,0.83844,0.90713,0.58185,1.26944,1.04026,1.6702,0.00130393,0.00130393,0.00130393
13,1928.49,1.08299,0.96063,1.40451,0.7966,0.90152,0.95152,0.64067,1.18815,0.84201,1.55926,0.00127092,0.00127092,0.00127092
14,2075.32,1.11421,0.94687,1.40083,0.91643,0.88519,0.96334,0.65087,1.11331,0.77282,1.50844,0.00123791,0.00123791,0.00123791
15,2221.21,1.08151,0.93123,1.3935,0.86757,0.89182,0.94355,0.64173,1.23196,0.86957,1.62938,0.00120491,0.00120491,0.00120491
16,2366.72,1.01433,0.83569,1.32392,0.93625,0.8841,0.96695,0.65022,1.15482,0.71866,1.56491,0.0011719,0.0011719,0.0011719
17,2513.13,1.02356,0.82476,1.3469,0.86482,0.90361,0.94532,0.66518,1.14426,0.82658,1.50638,0.00113889,0.00113889,0.00113889
18,2658.66,1.0648,0.85538,1.37339,0.93336,0.8616,0.96136,0.64035,1.17723,0.72807,1.57059,0.00110589,0.00110589,0.00110589
19,2805.34,1.03592,0.83006,1.34698,0.93819,0.92677,0.97757,0.68751,1.09776,0.64751,1.47918,0.00107288,0.00107288,0.00107288
20,2950.73,0.96989,0.75141,1.32091,0.94115,0.92748,0.98071,0.6988,1.09265,0.66204,1.48054,0.00103987,0.00103987,0.00103987
21,3095.58,0.98912,0.77489,1.30897,0.94956,0.93394,0.98174,0.70628,1.06487,0.60536,1.45483,0.00100687,0.00100687,0.00100687
22,3240.9,0.98992,0.75234,1.33054,0.92109,0.86499,0.95401,0.6818,1.07817,0.67808,1.43583,0.000973861,0.000973861,0.000973861
23,3385.62,0.98293,0.76096,1.31091,0.94305,0.97468,0.98684,0.71807,1.03109,0.60746,1.415,0.000940855,0.000940855,0.000940855
24,3530.28,0.97263,0.74149,1.30772,0.9367,0.9222,0.97441,0.70145,1.096,0.6258,1.4896,0.000907848,0.000907848,0.000907848
25,3674.54,0.93423,0.68955,1.27388,0.92279,0.98009,0.98642,0.71596,1.08939,0.58868,1.45683,0.000874842,0.000874842,0.000874842
